"id","name","sequence","parent_id/id","partner_id/id"
"base.main_company","LA2M",10,,"base.main_partner"
"esil.company_chujr","CHUJR",10,,"esil.partner_chujr"
"esil.company_central","Central",10,"base.main_company","esil.partner_central"
"esil.company_nosy_be","Nosy Be",11,"base.main_company","esil.partner_nosy_be"
"esil.company_diego","Diego",12,"base.main_company","esil.partner_diego"
"esil.company_mahajanga","Mahajanga",13,"base.main_company","esil.partner_mahajanga"
"esil.company_toamasina","Toamasina",14,"base.main_company","esil.partner_toamasina"
"esil.company_fianarantsoa","Fianarantsoa",15,"base.main_company","esil.partner_fianarantsoa"
"esil.company_toliara","Toliara",16,"base.main_company","esil.partner_toliara"
"esil.company_hjra","HJRA",17,"esil.company_chujr","esil.partner_hjra"
"esil.company_hjrb","HJRB",18,"esil.company_chujr","esil.partner_hjrb"