"id","name","usage","company_id/id","location_id/id"
"esil.loc_chujr","Stock CHUJR","internal","esil.company_chujr",""
"esil.loc_central_a","Conteneur A","internal","esil.company_central","export.stock_location_144_64e56efe"
"esil.loc_central_b","Conteneur B","internal","esil.company_central","export.stock_location_144_64e56efe"
"esil.loc_central_palu","LA2M Palu","internal","esil.company_central","export.stock_location_144_64e56efe"
"esil.loc_diego","Stock Diégo","internal","esil.company_diego","export.stock_location_168_5e8de607"
"esil.loc_fianarantsoa","Stock Fianarantsoa","internal","esil.company_fianarantsoa","export.stock_location_204_eaf78a79"
"esil.loc_hjra_anapath","Anatomie Pathologie & Cytologie","internal","esil.company_hjra",""
"esil.loc_hjra_bacterio","Bactériologie","internal","esil.company_hjra",""
"esil.loc_hjra_biochimie","Biochimie","internal","esil.company_hjra",""
"esil.loc_hjra_hemato","Hématologie","internal","esil.company_hjra",""
"esil.loc_hjra_immuno","Immunologie","internal","esil.company_hjra",""
"esil.loc_hjra_parasito","Parasitologie","internal","esil.company_hjra",""
"esil.loc_hjra_principal","Stock HJRA Principal","internal","esil.company_hjra",""
"esil.loc_hjrb","Stock HJRB","internal","esil.company_hjrb",""
"esil.loc_la2m","Stock LA2M","internal","base.main_company","stock.stock_location_stock"
"esil.loc_mahajanga","Stock Mahajanga","internal","esil.company_mahajanga","export.stock_location_180_86071f75"
"esil.loc_nosy_be","Stock Nosy Be","internal","esil.company_nosy_be","export.stock_location_156_412bf3fc"
"esil.loc_toamasina","Stock Toamasina","internal","esil.company_toamasina","export.stock_location_192_dd4369a0"
"esil.loc_toliara","Stock Toliara","internal","esil.company_toliara","export.stock_location_216_ed39eba4"